IDfg,AVG+,OBP+,SLG+,BABIP+,BB%+,HardHit%,wFB,wSL,wCT,wCB,wCH,wSF,vs RHP,vs LHP
10243,118,110,131,106,87,0.47600000000000003,12.7,1.0,-1.6,-2.0,1.2,1.6,0.242,0.319
21501,108,109,110,107,123,0.451,5.5,-2.4,4.8,1.7,-2.9,-2.0,0.261,0.227
27676,109,102,113,93,89,0.45799999999999996,-5.5,8.5,-2.8,2.5,3.8,0.2,0.267,0.246
27684,108,95,114,95,52,0.369,1.1,-1.5,0.6,3.3,1.8,-2.6,0.258,0.262
18373,113,100,108,114,66,0.452,3.9,-1.8,-3.3,3.5,2.3,0.2,0.257,0.306
19955,102,102,95,105,110,0.41100000000000003,7.0,-3.4,0.3,-2.0,2.0,-2.3,0.262,0.152
29622,105,101,83,103,90,0.19399999999999998,1.7,-5.8,-2.4,0.7,0.4,0.2,0.263,0.241
19858,125,112,106,119,65,0.325,8.9,-2.5,-3.4,0.2,1.3,0.9,0.288,0.352
22275,101,95,114,99,65,0.46799999999999997,10.4,-0.2,-1.6,-0.3,-2.6,-1.6,0.264,0.221
19913,102,99,103,107,93,0.509,4.1,-3.7,1.4,-5.0,3.8,1.3,0.276,0.162
11368,92,96,99,84,120,0.428,-4.0,1.9,1.3,-1.5,4.6,-0.9,0.225,0.236
17696,113,99,93,109,59,0.23399999999999999,0.4,-3.4,1.4,0.9,-1.9,0.5,0.274,0.282
21614,96,93,93,97,78,0.363,-0.2,-1.5,-1.3,-1.6,1.2,-2.7,0.242,0.161
29766,88,87,92,104,86,0.37200000000000005,-5.4,-2.1,-1.1,-4.8,-0.8,-2.8,0.232,0.138
20287,95,103,77,111,128,0.307,0.8,0.9,-3.2,-5.5,0.2,-1.2,0.229,0.216
21524,107,107,114,109,95,0.387,3.6,-0.2,1.2,-0.4,1.3,1.0,0.241,0.333
13590,103,114,100,103,150,0.368,0.0,2.0,-3.3,6.3,1.2,2.2,0.258,0.236
18126,105,121,94,112,188,0.43700000000000006,8.0,6.6,-0.1,1.9,-5.7,-0.3,0.253,0.324
16376,96,98,111,94,104,0.45799999999999996,3.8,-3.7,4.5,2.9,-4.7,-0.8,0.224,0.284
26323,91,101,100,88,133,0.39899999999999997,-0.8,2.2,0.7,3.9,0.9,0.7,0.229,0.212
16939,97,99,100,102,102,0.406,5.1,-3.6,-1.1,0.4,2.6,-1.1,0.214,0.302
27490,109,99,99,108,56,0.366,-1.4,-0.9,-2.3,0.7,4.6,-1.1,0.255,0.315
16556,102,96,100,93,75,0.32,-3.2,-4.9,2.7,0.3,4.4,0.5,0.225,0.321
15362,97,98,95,87,90,0.308,-5.0,2.0,-1.3,0.0,3.4,-0.7,0.24,0.234
24589,93,112,81,98,175,0.302,-0.9,-2.3,1.6,-3.0,3.7,-1.2,0.216,0.286
18030,96,90,92,93,58,0.35100000000000003,-7.6,-2.0,3.5,2.5,-3.5,-1.8,0.253,0.204
19296,139,135,130,136,129,0.325,2.0,2.8,0.9,1.8,-0.2,2.3,0.368,0.29
13770,118,116,119,126,112,0.429,5.0,2.8,-0.5,0.1,3.1,-1.0,0.267,0.302
20437,97,96,115,88,106,0.377,-2.0,2.7,-0.5,2.0,-2.4,1.5,0.224,0.253
5235,108,115,97,105,135,0.325,-3.4,3.5,0.5,0.6,0.6,0.5,0.261,0.252
13675,100,95,99,105,67,0.349,1.8,-1.9,1.3,0.6,0.5,-1.2,0.249,0.245
12856,92,98,94,86,120,0.37,2.4,-7.1,-2.8,1.9,1.0,-0.1,0.23,0.187
16530,112,96,91,105,46,0.265,-12.4,1.7,-3.6,3.5,4.6,-0.1,0.277,0.248
24336,98,88,80,101,43,0.27399999999999997,-8.1,6.0,-1.6,-4.4,-0.6,0.2,0.255,0.212
14221,98,107,109,99,144,0.43700000000000006,19.1,-1.9,-4.8,0.8,0.9,-1.7,0.234,0.264
20538,119,104,112,111,52,0.389,6.2,0.8,-0.6,-2.5,0.0,-0.9,0.313,0.226
19896,117,108,108,122,71,0.342,3.1,-0.4,1.8,0.4,0.1,2.4,0.266,0.311
18568,127,110,97,110,43,0.231,-2.7,-1.4,3.9,2.4,4.2,-3.0,0.333,0.271
15274,101,113,91,102,163,0.406,-3.0,3.0,0.4,1.5,0.1,0.5,0.238,0.286
9218,99,96,103,104,87,0.48100000000000004,6.2,-4.7,-0.9,3.0,-1.9,-2.4,0.23,0.295
18900,96,94,89,95,98,0.349,-13.1,2.2,8.8,-4.1,-3.3,-2.4,0.238,0.189
23690,86,96,80,86,123,0.223,-5.4,4.0,-3.0,-2.2,-7.0,0.8,0.211,0.194
19392,90,90,85,93,91,0.326,-10.1,-1.6,1.5,0.7,-0.2,1.5,0.225,0.133
22715,96,91,84,94,83,0.426,-16.7,-0.8,-3.4,-1.2,2.5,2.5,0.233,0.226
22557,92,90,71,109,76,0.22,-3.0,-5.2,-0.7,-0.8,-1.8,-1.2,0.243,0.196
10155,92,105,137,68,156,0.415,4.7,1.4,-0.2,0.6,-0.4,0.4,0.24,0.077
24703,112,113,114,104,134,0.337,-0.7,3.8,2.0,1.4,2.9,-0.7,0.302,0.229
18401,101,111,90,110,148,0.475,-1.4,1.2,-0.4,-0.5,3.3,0.0,0.252,0.244
19953,100,98,99,118,102,0.461,-1.5,-2.4,-0.7,-0.5,2.5,-0.2,0.244,0.222
11445,100,111,87,104,136,0.374,-4.9,-1.7,2.9,-1.0,6.4,-0.9,0.229,0.275
12144,105,98,96,105,68,0.366,-3.5,1.3,0.7,1.9,-0.4,1.3,0.247,0.273
19892,109,110,136,95,138,0.44,7.2,-1.1,1.0,-1.3,0.8,0.9,0.282,0.2
13723,107,113,112,110,117,0.344,3.1,1.8,-0.5,0.8,1.4,-0.3,0.258,0.274
17128,105,99,109,119,59,0.40299999999999997,8.2,-6.7,1.1,1.3,0.8,0.3,0.236,0.305
18795,106,104,107,98,94,0.381,5.4,-5.3,2.6,0.4,5.4,0.3,0.237,0.295
19260,112,105,95,112,83,0.247,2.1,2.6,0.7,-2.7,0.8,-2.3,0.284,0.241
19470,96,93,103,87,87,0.35100000000000003,-0.8,1.3,-1.4,1.1,1.6,-1.5,0.181,0.412
24262,103,89,99,109,32,0.36700000000000005,-7.7,1.7,-0.2,-1.3,0.8,1.0,0.259,0.211
21707,103,96,92,100,79,0.349,-4.2,-2.3,-1.7,1.0,3.1,0.5,0.268,0.19
26365,90,90,84,93,82,0.28,-0.1,-3.5,-5.2,0.8,-0.2,-0.6,0.226,0.191
19339,101,101,75,101,102,0.16899999999999998,4.8,-8.5,2.2,-1.8,0.4,-1.8,0.246,0.213
4949,97,97,120,98,102,0.551,5.7,-0.5,-5.4,4.3,-2.6,-1.1,0.23,0.238
31837,117,113,105,106,79,0.375,9.0,-1.6,1.8,0.1,1.1,0.4,0.31,0.191
8623,116,109,103,117,86,0.37,6.1,3.3,-2.7,-3.3,-0.1,1.2,0.277,0.302
17907,108,100,101,114,70,0.43799999999999994,-0.1,-8.1,1.8,5.0,-0.1,0.7,0.252,0.311
4940,86,92,103,77,104,0.413,-4.1,3.1,1.6,0.1,-2.8,0.3,0.214,0.182
17273,96,86,102,96,59,0.349,-3.7,-2.1,1.6,0.3,-0.7,0.5,0.204,0.262
15905,93,93,92,92,84,0.462,1.6,-1.8,-3.2,-0.7,2.0,-1.0,0.235,0.216
18819,101,96,91,109,76,0.325,-1.9,-0.4,-2.3,-0.5,1.5,-0.9,0.161,0.292
19352,78,90,87,75,124,0.365,-5.2,-2.3,-2.1,2.4,1.5,-0.2,0.2,0.175
13185,88,86,88,84,83,0.37799999999999995,-9.9,-8.8,5.1,-2.6,-0.2,-3.0,0.22,0.209
9774,92,80,83,90,43,0.361,-6.1,-5.4,-1.8,-2.1,2.0,0.1,0.23,0.2
17954,97,97,126,105,108,0.511,-0.5,0.2,1.9,2.6,1.1,-1.4,0.214,0.3
22054,107,106,109,128,90,0.475,0.6,3.4,0.5,-0.6,-0.2,-0.2,0.237,0.281
33189,104,111,92,100,138,0.253,-8.5,6.6,-0.7,0.8,2.6,1.0,0.252,0.244
10472,93,89,92,87,83,0.41200000000000003,-11.3,2.5,-0.7,-4.3,3.6,0.1,0.226,0.235
10681,103,92,91,96,61,0.282,-4.6,0.5,0.4,-0.2,-4.7,-1.1,0.271,0.177
21693,94,91,88,88,77,0.33899999999999997,-2.0,-2.5,1.1,-0.7,-0.3,-2.0,0.256,0.163
19844,100,95,89,98,68,0.292,-2.3,1.5,-1.1,1.0,-4.6,-2.7,0.227,0.286
22514,100,109,117,109,152,0.452,3.9,1.0,0.6,-0.7,0.1,-0.9,0.237,0.25
27615,109,100,104,94,71,0.41,-5.0,-1.7,0.9,-0.9,12.7,1.5,0.292,0.195
12564,107,110,100,131,128,0.295,0.3,0.8,1.3,-0.6,-0.7,-0.9,0.276,0.167
6184,95,101,100,104,120,0.455,2.8,-5.8,-1.3,-2.9,4.7,0.5,0.225,0.263
28163,104,97,108,101,76,0.457,-1.2,-0.5,0.2,2.8,0.6,-0.7,0.23,0.346
9241,109,104,96,113,89,0.429,-6.5,1.0,1.4,0.2,3.3,-0.3,0.251,0.31
16535,86,100,88,80,152,0.29100000000000004,-1.1,-1.7,-2.3,1.2,0.2,-1.3,0.193,0.237
17027,97,94,90,88,97,0.349,-8.7,5.1,-7.8,-0.7,-0.3,-0.1,0.235,0.228
21538,92,82,79,83,40,0.226,-6.1,0.6,-6.2,1.4,-5.3,0.6,0.242,0.196
9847,94,104,102,96,137,0.363,7.7,0.8,0.6,-2.9,0.4,0.3,0.244,0.2
19779,108,100,99,111,75,0.374,0.4,-1.8,-0.8,1.7,0.9,-0.5,0.193,0.317
25660,110,100,98,101,66,0.325,-5.3,-1.6,0.2,0.0,0.2,3.1,0.278,0.143
11680,107,99,94,107,69,0.341,-9.8,4.1,0.0,0.1,-1.2,0.6,0.27,0.253
16572,92,101,91,94,128,0.32,1.6,-5.5,-0.7,1.7,2.2,-0.2,0.224,0.234
22558,93,91,97,101,86,0.449,-3.6,-7.2,2.4,3.5,-0.9,0.2,0.235,0.206
18564,79,94,98,76,130,0.46,-0.5,-2.7,3.2,0.0,-1.0,-0.7,0.184,0.211
12434,95,94,96,95,63,0.297,-4.8,-0.7,1.2,-1.8,-2.4,-0.3,0.173,0.31
20043,93,90,96,108,81,0.406,-6.5,1.8,-3.3,2.9,-1.9,-2.7,0.233,0.194
14813,89,95,90,88,97,0.292,-10.4,-0.9,-0.9,3.1,2.9,-0.5,0.167,0.262
12158,107,105,76,118,109,0.311,-4.0,-2.6,0.4,0.0,2.5,-0.2,0.225,0.368
26123,93,97,81,98,114,0.33,-0.1,-0.5,-0.1,0.4,-3.0,-1.1,0.242,0.182
27735,96,88,85,102,58,0.313,-2.7,4.2,-2.9,-1.4,-2.3,-1.9,0.221,0.298
19262,96,89,76,110,75,0.304,-5.5,-3.5,1.8,-3.4,-2.3,1.3,0.235,0.226
12147,93,85,73,97,59,0.23,-1.7,-3.1,-2.2,-1.9,-1.5,-1.0,0.198,0.278
25845,88,99,113,91,143,0.5,13.9,-3.1,-3.1,-2.3,-0.7,-0.4,0.21,0.236
18400,115,106,106,108,88,0.35100000000000003,0.5,0.0,-0.1,1.6,0.4,-0.8,0.272,0.304
27577,102,90,118,92,43,0.361,0.1,-1.5,1.0,0.7,0.9,-1.0,0.21,0.311
2136,108,106,103,107,103,0.418,-0.1,0.2,-0.1,0.8,3.9,-0.2,0.273,0.2
11737,103,99,107,99,76,0.377,7.9,-2.9,-3.3,-1.8,1.6,2.3,0.249,0.269
21837,98,100,109,92,103,0.46399999999999997,-1.5,1.1,2.0,0.7,0.9,-1.4,0.243,0.176
15878,119,104,96,112,50,0.337,0.7,-3.7,-1.3,2.6,1.4,-0.7,0.256,0.411
19890,97,100,86,101,105,0.441,-5.4,0.0,-1.3,-0.6,1.3,0.6,0.237,0.239
11281,90,99,78,87,127,0.212,-7.2,0.3,3.2,0.7,-1.4,-1.3,0.231,0.206
23565,80,91,87,90,127,0.37200000000000005,-10.4,-0.3,-0.6,0.5,-1.0,-0.4,0.203,0.165
25807,87,94,78,95,114,0.38799999999999996,-7.7,0.0,-2.1,2.6,-1.2,-0.6,0.219,0.208
16426,88,78,85,84,32,0.317,0.3,-6.7,-0.3,-2.4,-4.5,-0.5,0.227,0.187
18067,84,94,65,98,110,0.086,-2.0,-4.1,0.6,0.8,-1.9,0.6,0.195,0.235
11489,78,80,72,98,93,0.401,-2.9,-6.2,-0.6,-2.7,-1.9,-1.7,0.192,0.196
12976,63,66,56,77,51,0.24100000000000002,-4.6,-6.5,-3.1,0.5,-0.8,-0.1,0.097,0.217
31166,105,114,100,119,108,0.439,-0.1,0.8,2.2,-1.3,2.7,-0.7,0.229,0.375
27467,97,102,109,96,116,0.489,5.2,-2.9,0.8,-1.0,-1.3,0.0,0.225,0.3
26299,110,96,107,113,52,0.397,0.4,1.3,-0.2,1.1,-0.6,0.1,0.262,0.273
11442,89,97,97,90,117,0.442,2.3,-3.1,-1.9,0.9,-1.1,-0.3,0.227,0.212
15518,116,99,96,122,32,0.36200000000000004,-5.8,-4.2,1.9,1.6,1.5,1.5,0.272,0.294
22263,82,86,99,94,103,0.384,-5.8,-1.1,2.0,0.6,-4.4,1.3,0.204,0.2
13152,89,96,90,96,121,0.37200000000000005,-3.4,-3.3,-2.8,-1.3,-2.8,-0.6,0.198,0.25
22532,87,99,81,80,90,0.34299999999999997,-12.7,1.9,1.9,-3.6,-0.6,-0.5,0.222,0.184
19612,94,90,82,94,73,0.43,-9.3,-3.4,-3.3,1.1,-0.7,-0.6,0.242,0.153
11038,82,76,79,95,52,0.298,-6.1,-3.9,-4.6,1.3,-0.3,-0.5,0.207,0.157
